Application Number	11/201,637
Filing or 371 (c) Date	08-10-2005
Application Type	Utility
Examiner Name	SHAH, ANTIM G
Group Art Unit	2614
Confirmation Number	6416
Attorney Docket Number	0160132
Class / Subclass	379/406.080
First Named Inventor	Adil Benyassine , Irvine, CA
Entity Status	Undiscounted
Customer Number	-
Status	Patented Case
Status Date	10-14-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	-
Earliest Publication Date	-
Patent Number	7,613,291
Issue Date of Patent	11-03-2009
AIA (First Inventor to File)	No
Title of Invention	ECHO PATH CHANGE DETECTION USING DUAL SPARSE FILTERING
