Filing or 371(c) Date	09-06-2005
Issue Date of Patent	08-04-2009
A Delays	795
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	795
PTO Manual Adjustments	0
Applicant Delays	21
Total PTA Adjustments	774

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
46.5	07-15-2009	PTA 36 Months	0		0
46	08-04-2009	Patent Issue Date Used in PTA Calculation			0
45	07-08-2009	Export to Final Data Capture			0
44	07-02-2009	Finished Initial Data Capture			0
43	07-02-2009	Dispatch to FDC			0
42	07-02-2009	Application Is Considered Ready for Issue			0
41	06-26-2009	Issue Fee Payment Verified			0
40	06-26-2009	Issue Fee Payment Received			0
39	06-08-2009	Export to Initial Data Capture			0
32	06-05-2009	Mail Notice of Allowance			0
31	06-02-2009	Notice of Allowance Data Verification Completed			0
30	05-27-2009	Examiner's Amendment Communication			0
29	05-27-2009	Examiner's Amendment Communication			0
28	05-27-2009	Allowability Notice			0
25	05-19-2009	Date Forwarded to Examiner			0
24	04-30-2009	Response after Non-Final Action		21	21
23	04-30-2009	Request for Extension of Time - Granted			0
21	01-09-2009	Mail Non-Final Rejection	795		-1
20	01-06-2009	Non-Final Rejection			0
19	09-06-2005	Information Disclosure Statement considered			0
18	09-01-2008	Case Docketed to Examiner in GAU			0
17	04-04-2006	Case Docketed to Examiner in GAU			0
16	03-22-2006	Case Docketed to Examiner in GAU			0
15	02-22-2006	IFW TSS Processing by Tech Center Complete			0
14	09-06-2005	Request for Foreign Priority (Priority Papers May Be Included)			0
13.7	09-06-2005	Information Disclosure Statement (IDS) Filed			0
13	09-06-2005	Information Disclosure Statement (IDS) Filed			0
12	09-06-2005	Preliminary Amendment			0
11	02-22-2006	Case Docketed to Examiner in GAU			0
10	12-05-2005	Application Dispatched from OIPE			0
9	12-05-2005	Application Is Now Complete			0
8	11-25-2005	Payment of additional filing fee/Preexam			0
7	11-25-2005	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
6	09-27-2005	Notice Mailed--Application Incomplete--Filing Date Assigned			0
4	09-22-2005	Cleared by OIPE CSR			0
3	09-22-2005	CASE CLASSIFIED BY OIPE			0
2	09-12-2005	IFW Scan & PACR Auto Security Review			0
1	09-06-2005	Initial Exam Team nn			0
