Date	Transaction Description
11-10-2009	Recordation of Patent Grant Mailed
10-21-2009	Issue Notification Mailed
11-10-2009	Patent Issue Date Used in PTA Calculation
10-09-2009	Dispatch to FDC
09-18-2009	Dispatch to FDC
09-17-2009	Application Is Considered Ready for Issue
09-10-2009	Issue Fee Payment Verified
09-10-2009	Issue Fee Payment Received
06-12-2009	Mail Notice of Allowance
05-19-2009	Document Verification
05-11-2009	Notice of Allowance Data Verification Completed
05-11-2009	Case Docketed to Examiner in GAU
04-16-2009	New or Additional Drawing Filed
04-16-2009	New or Additional Drawing Filed
04-29-2009	Date Forwarded to Examiner
04-16-2009	Response after Non-Final Action
01-16-2009	Mail Non-Final Rejection
01-15-2009	Non-Final Rejection
06-05-2008	Case Docketed to Examiner in GAU
10-17-2007	Withdraw Flagged for 5/25
10-15-2007	Flagged for 5/25
03-22-2006	Case Docketed to Examiner in GAU
03-10-2006	IFW TSS Processing by Tech Center Complete
10-24-2005	Request for Foreign Priority (Priority Papers May Be Included)
03-10-2006	Case Docketed to Examiner in GAU
01-23-2006	Correspondence Address Change
12-14-2005	Application Return from OIPE
12-15-2005	Application Is Now Complete
12-14-2005	Application Return TO OIPE
12-13-2005	Application Dispatched from OIPE
12-14-2005	Application Is Now Complete
12-12-2005	Cleared by OIPE CSR
12-01-2005	IFW Scan & PACR Auto Security Review
10-24-2005	Initial Exam Team nn
