Application Number	11/408,669
Filing or 371 (c) Date	04-21-2006
Application Type	Re-Issue
Examiner Name	SHANKAR, VIJAY
Group Art Unit	2629
Confirmation Number	2121
Attorney Docket Number	GENSP140R2 (GENSP103RD2)
Class / Subclass	345/213
First Named Inventor	Alexander J. Eglit , Half Moon Bay, CA (US)
Customer Number	-
Status	Patented Case
Status Date	03-17-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	-
Earliest Publication Date	-
Patent Number	RE41,192
Issue Date of Patent	04-06-2010
Title of Invention	METHOD AND SYSTEM FOR DISPLAYING AN ANALOG IMAGE BY A DIGITAL DISPLAY DEVICE
