Mail Room Date	Document Code	Document Description	Page Count	Filename
06-01-2010	COCOUT	Certificate of Correction - Post Issue Communication	1	11408669-2010-06-01-00001-COCOUT.pdf
05-06-2010	COCIN	Request for Certificate of Correction	5	11408669-2010-05-06-00003-COCIN.pdf
05-06-2010	COCIN	Request for Certificate of Correction	1	11408669-2010-05-06-00002-COCIN.pdf
05-06-2010	N417	EFS Acknowledgment Receipt	2	11408669-2010-05-06-00001-N417.pdf
03-17-2010	ISSUE.NTF	Issue Notification	1	11408669-2010-03-17-00001-ISSUE.NTF.pdf
01-13-2010	IFEE	Issue Fee Payment (PTO-85B)	1	11408669-2010-01-13-00003-IFEE.pdf
01-13-2010	N417	EFS Acknowledgment Receipt	2	11408669-2010-01-13-00002-N417.pdf
01-13-2010	IFEE	Issue Fee Payment (PTO-85B)	1	11408669-2010-01-13-00001-IFEE.pdf
01-04-2010	NOA	Notice of Allowance and Fees Due (PTOL-85)	6	11408669-2010-01-04-00005-NOA.pdf
01-04-2010	SRFW	Search information including classification, databases and other search related notes	1	11408669-2010-01-04-00004-SRFW.pdf
01-04-2010	1449	List of References cited by applicant and considered by examiner	6	11408669-2010-01-04-00003-1449.pdf
01-04-2010	1449	List of References cited by applicant and considered by examiner	6	11408669-2010-01-04-00002-1449.pdf
01-04-2010	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	1	11408669-2010-01-04-00001-IIFW.pdf
12-10-2009	TRAN.LET	Transmittal Letter	1	11408669-2009-12-10-00049-TRAN.LET.pdf
12-10-2009	N417	EFS Acknowledgment Receipt	7	11408669-2009-12-10-00048-N417.pdf
12-10-2009	NPL	NPL Documents	4	
12-10-2009	NPL	NPL Documents	10	
12-10-2009	FOR	Foreign Reference	13	11408669-2009-12-10-00045-FOR.pdf
12-10-2009	FOR	Foreign Reference	9	11408669-2009-12-10-00044-FOR.pdf
12-10-2009	FOR	Foreign Reference	20	11408669-2009-12-10-00043-FOR.pdf
12-10-2009	FOR	Foreign Reference	18	11408669-2009-12-10-00042-FOR.pdf
12-10-2009	FOR	Foreign Reference	31	11408669-2009-12-10-00041-FOR.pdf
12-10-2009	FOR	Foreign Reference	10	11408669-2009-12-10-00040-FOR.pdf
12-10-2009	NPL	NPL Documents	2	
12-10-2009	NPL	NPL Documents	9	
12-10-2009	NPL	NPL Documents	4	
12-10-2009	NPL	NPL Documents	11	
12-10-2009	NPL	NPL Documents	22	
12-10-2009	NPL	NPL Documents	14	
12-10-2009	NPL	NPL Documents	257	
12-10-2009	NPL	NPL Documents	112	
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00031-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00030-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00029-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00028-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00027-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00026-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00025-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00024-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00023-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00022-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00021-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00020-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00019-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00018-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00017-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00016-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00015-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00014-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00013-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00012-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00011-FOR.pdf
12-10-2009	FOR	Foreign Reference	1	11408669-2009-12-10-00010-FOR.pdf
12-10-2009	FOR	Foreign Reference	2	11408669-2009-12-10-00009-FOR.pdf
12-10-2009	NPL	NPL Documents	5	
12-10-2009	NPL	NPL Documents	10	
12-10-2009	NPL	NPL Documents	9	
12-10-2009	NPL	NPL Documents	17	
12-10-2009	NPL	NPL Documents	6	
12-10-2009	NPL	NPL Documents	11	
12-10-2009	NPL	NPL Documents	12	
12-10-2009	FOR	Foreign Reference	28	11408669-2009-12-10-00001-FOR.pdf
12-07-2009	PET.DEC.TC	Petition decision routed to the Technology Center Legal Instrument Examiners to act on the decision or continue prosecution.	2	11408669-2009-12-07-00001-PET.DEC.TC.pdf
12-04-2009	PETWDISS	Petition to Withdraw from Issue	2	11408669-2009-12-04-00009-PETWDISS.pdf
12-04-2009	WFEE	Fee Worksheet (PTO-875)	2	11408669-2009-12-04-00008-WFEE.pdf
12-04-2009	N417	EFS Acknowledgment Receipt	3	11408669-2009-12-04-00007-N417.pdf
12-04-2009	TRAN.LET	Transmittal Letter	2	11408669-2009-12-04-00006-TRAN.LET.pdf
12-04-2009	RCEX	Request for Continued Examination (RCE)	3	11408669-2009-12-04-00005-RCEX.pdf
12-04-2009	AMSB	Amendment Submitted/Entered with Filing of CPA/RCE	1	11408669-2009-12-04-00004-AMSB.pdf
12-04-2009	SPEC	Specification	1	11408669-2009-12-04-00003-SPEC.pdf
12-04-2009	REM	Applicant Arguments/Remarks Made in an Amendment	1	11408669-2009-12-04-00002-REM.pdf
12-04-2009	IDS	Information Disclosure Statement (IDS) Filed (SB/08)	6	11408669-2009-12-04-00001-IDS.pdf
12-03-2009	M327	Miscellaneous Communication to Applicant - No Action Count	2	11408669-2009-12-03-00001-M327.pdf
11-23-2009	IDS	Information Disclosure Statement (IDS) Filed (SB/08)	6	11408669-2009-11-23-00003-IDS.pdf
11-23-2009	N417	EFS Acknowledgment Receipt	2	11408669-2009-11-23-00002-N417.pdf
11-23-2009	TRAN.LET	Transmittal Letter	2	11408669-2009-11-23-00001-TRAN.LET.pdf
11-03-2009	IFEE	Issue Fee Payment (PTO-85B)	1	11408669-2009-11-03-00003-IFEE.pdf
11-03-2009	WFEE	Fee Worksheet (PTO-875)	2	11408669-2009-11-03-00002-WFEE.pdf
11-03-2009	N417	EFS Acknowledgment Receipt	2	11408669-2009-11-03-00001-N417.pdf
09-24-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	6	11408669-2009-09-24-00003-NOA.pdf
09-24-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	1	11408669-2009-09-24-00002-IIFW.pdf
09-24-2009	SRFW	Search information including classification, databases and other search related notes	1	11408669-2009-09-24-00001-SRFW.pdf
06-22-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	1	11408669-2009-06-22-00002-N570.pdf
06-22-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	1	11408669-2009-06-22-00001-N570.pdf
06-11-2009	N417	EFS Acknowledgment Receipt	2	11408669-2009-06-11-00003-N417.pdf
06-11-2009	PA..	Power of Attorney	1	11408669-2009-06-11-00002-PA...pdf
06-11-2009	R3.73B	Assignee showing of ownership per 37 CFR 3.73(b).	2	11408669-2009-06-11-00001-R3.73B.pdf
05-06-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	1	11408669-2009-05-06-00002-N570.pdf
05-06-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	1	11408669-2009-05-06-00001-N570.pdf
04-07-2009	A...	Amendment/Req. Reconsideration-After Non-Final Reject	1	11408669-2009-04-07-00010-A....pdf
04-07-2009	CLM	Claims	12	11408669-2009-04-07-00009-CLM.pdf
04-07-2009	REM	Applicant Arguments/Remarks Made in an Amendment	1	11408669-2009-04-07-00008-REM.pdf
04-07-2009	R3.73B	Assignee showing of ownership per 37 CFR 3.73(b).	2	11408669-2009-04-07-00007-R3.73B.pdf
04-07-2009	REIS.DECL	Reissue dec filed in accordance with MPEP 1414.	2	11408669-2009-04-07-00006-REIS.DECL.pdf
04-07-2009	PA..	Power of Attorney	1	11408669-2009-04-07-00005-PA...pdf
04-07-2009	REIS.CONSENT	Consent of Assignee accompanying the declaration.	1	11408669-2009-04-07-00004-REIS.CONSENT.pdf
04-07-2009	N417	EFS Acknowledgment Receipt	3	11408669-2009-04-07-00003-N417.pdf
04-07-2009	TRAN.LET	Transmittal Letter	1	11408669-2009-04-07-00002-TRAN.LET.pdf
04-07-2009	WFEE	Fee Worksheet (PTO-875)	1	11408669-2009-04-07-00001-WFEE.pdf
01-09-2009	CTNF	Non-Final Rejection	4	11408669-2009-01-09-00005-CTNF.pdf
01-09-2009	892	List of references cited by examiner	1	11408669-2009-01-09-00004-892.pdf
01-09-2009	BIB	Bibliographic Data Sheet	1	11408669-2009-01-09-00003-BIB.pdf
01-09-2009	FWCLM	Index of Claims	2	11408669-2009-01-09-00002-FWCLM.pdf
01-09-2009	SRFW	Search information including classification, databases and other search related notes	1	11408669-2009-01-09-00001-SRFW.pdf
09-18-2008	C.AD	Change of Address	1	11408669-2008-09-18-00002-C.AD.pdf
09-18-2008	N417	EFS Acknowledgment Receipt	2	11408669-2008-09-18-00001-N417.pdf
10-18-2006	A.PE	Preliminary Amendment	1	11408669-2006-10-18-00009-A.PE.pdf
10-18-2006	SPEC	Specification	1	11408669-2006-10-18-00008-SPEC.pdf
10-18-2006	CLM	Claims	12	11408669-2006-10-18-00007-CLM.pdf
10-18-2006	REM	Applicant Arguments/Remarks Made in an Amendment	2	11408669-2006-10-18-00006-REM.pdf
10-18-2006	DRW	Drawings-only black and white line drawings	1	11408669-2006-10-18-00005-DRW.pdf
10-18-2006	WFEE	Fee Worksheet (PTO-875)	2	11408669-2006-10-18-00004-WFEE.pdf
10-18-2006	N417	EFS Acknowledgment Receipt	2	11408669-2006-10-18-00003-N417.pdf
10-18-2006	LET.	Miscellaneous Incoming Letter	1	11408669-2006-10-18-00002-LET..pdf
10-18-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-10-18-00001-WFEE.pdf
08-07-2006	SRNT	Examiner's search strategy and results	8	11408669-2006-08-07-00001-SRNT.pdf
07-17-2006	PEFRREISS	Response to Pre-Exam Reissue Notice	3	11408669-2006-07-17-00003-PEFRREISS.pdf
07-17-2006	ABST	Abstract	1	11408669-2006-07-17-00002-ABST.pdf
07-17-2006	OATH	Oath or Declaration filed	40	11408669-2006-07-17-00001-OATH.pdf
07-03-2006	PEFN	Pre-Exam Formalities Notice	2	11408669-2006-07-03-00001-PEFN.pdf
06-14-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-06-14-00001-WFEE.pdf
04-21-2006	TRNA	Transmittal of New Application	3	11408669-2006-04-21-00015-TRNA.pdf
04-21-2006	136A	Authorization for Extension of Time all replies	3	11408669-2006-04-21-00014-136A.pdf
04-21-2006	SPEC	Specification	6	11408669-2006-04-21-00013-SPEC.pdf
04-21-2006	CLM	Claims	1	11408669-2006-04-21-00012-CLM.pdf
04-21-2006	DRW	Drawings-only black and white line drawings	5	11408669-2006-04-21-00011-DRW.pdf
04-21-2006	OATH	Oath or Declaration filed	2	11408669-2006-04-21-00010-OATH.pdf
04-21-2006	WCLM	Claims Worksheet (PTO-2022)	1	11408669-2006-04-21-00009-WCLM.pdf
04-21-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-04-21-00008-WFEE.pdf
04-21-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-04-21-00007-WFEE.pdf
04-21-2006	A.PE	Preliminary Amendment	1	11408669-2006-04-21-00006-A.PE.pdf
04-21-2006	SPEC	Specification	1	11408669-2006-04-21-00005-SPEC.pdf
04-21-2006	CLM	Claims	12	11408669-2006-04-21-00004-CLM.pdf
04-21-2006	REM	Applicant Arguments/Remarks Made in an Amendment	1	11408669-2006-04-21-00003-REM.pdf
04-21-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-04-21-00002-WFEE.pdf
04-21-2006	WFEE	Fee Worksheet (PTO-875)	1	11408669-2006-04-21-00001-WFEE.pdf
