Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
10-19-2010	COCOUT	Certificate of Correction - Post Issue Communication	PROSECUTION	1	11416939-2010-10-19-00001-COCOUT.pdf
04-21-2010	PETDEC	Petition Decision	PROSECUTION	1	11416939-2010-04-21-00001-PETDEC.pdf
03-02-2010	PET.PTA.RCAL	Request for PTA recalculation in view of Wyeth	PROSECUTION	1	11416939-2010-03-02-00002-PET.PTA.RCAL.pdf
03-02-2010	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11416939-2010-03-02-00001-N417.pdf
10-14-2009	ISSUE.NTF	Issue Notification	PROSECUTION	1	11416939-2009-10-14-00001-ISSUE.NTF.pdf
09-23-2009	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	11416939-2009-09-23-00004-IFEE.pdf
09-23-2009	LET.	Miscellaneous Incoming Letter	PROSECUTION	1	11416939-2009-09-23-00003-LET..pdf
09-23-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11416939-2009-09-23-00002-WFEE.pdf
09-23-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11416939-2009-09-23-00001-N417.pdf
06-25-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	6	11416939-2009-06-25-00006-NOA.pdf
06-25-2009	1449	List of References cited by applicant and considered by examiner	PROSECUTION	1	11416939-2009-06-25-00005-1449.pdf
06-25-2009	FWCLM	Index of Claims	PROSECUTION	1	11416939-2009-06-25-00004-FWCLM.pdf
06-25-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	11416939-2009-06-25-00003-IIFW.pdf
06-25-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11416939-2009-06-25-00002-SRFW.pdf
06-25-2009	SRNT	Examiner's search strategy and results	PROSECUTION	10	11416939-2009-06-25-00001-SRNT.pdf
06-02-2009	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	11416939-2009-06-02-00006-IDS.pdf
06-02-2009	FOR	Foreign Reference	PRIOR ART	92	11416939-2009-06-02-00005-FOR.pdf
06-02-2009	FOR	Foreign Reference	PRIOR ART	14	11416939-2009-06-02-00004-FOR.pdf
06-02-2009	NPL	Non Patent Literature	PRIOR ART	5	
06-02-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11416939-2009-06-02-00002-N417.pdf
06-02-2009	TRAN.LET	Transmittal Letter	PROSECUTION	2	11416939-2009-06-02-00001-TRAN.LET.pdf
05-26-2009	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	11416939-2009-05-26-00007-A....pdf
05-26-2009	CLM	Claims	PROSECUTION	7	11416939-2009-05-26-00006-CLM.pdf
05-26-2009	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	11416939-2009-05-26-00005-REM.pdf
05-26-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11416939-2009-05-26-00004-WFEE.pdf
05-26-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11416939-2009-05-26-00003-N417.pdf
05-26-2009	XT/	Extension of Time	PROSECUTION	1	11416939-2009-05-26-00002-XT-.pdf
05-26-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11416939-2009-05-26-00001-WFEE.pdf
01-28-2009	CTNF	Non-Final Rejection	PROSECUTION	21	11416939-2009-01-28-00009-CTNF.pdf
01-28-2009	892	List of references cited by examiner	PRIOR ART	1	11416939-2009-01-28-00008-892.pdf
01-28-2009	FWCLM	Index of Claims	PROSECUTION	1	11416939-2009-01-28-00007-FWCLM.pdf
01-28-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11416939-2009-01-28-00006-SRFW.pdf
01-28-2009	BIB	Bibliographic Data Sheet	PROSECUTION	1	11416939-2009-01-28-00005-BIB.pdf
01-28-2009	SRNT	Examiner's search strategy and results	PROSECUTION	9	11416939-2009-01-28-00004-SRNT.pdf
01-28-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11416939-2009-01-28-00003-1449.pdf
01-28-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11416939-2009-01-28-00002-1449.pdf
01-28-2009	FOR	Foreign Reference	PRIOR ART	8	11416939-2009-01-28-00001-FOR.pdf
11-14-2008	ELC.	Response to Election / Restriction Filed	PROSECUTION	1	11416939-2008-11-14-00004-ELC..pdf
11-14-2008	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	1	11416939-2008-11-14-00003-REM.pdf
11-14-2008	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11416939-2008-11-14-00002-N417.pdf
11-14-2008	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11416939-2008-11-14-00001-WFEE.pdf
10-15-2008	CTRS	Requirement for Restriction/Election	PROSECUTION	6	11416939-2008-10-15-00001-CTRS.pdf
12-06-2006	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11416939-2006-12-06-00001-WFEE.pdf
09-11-2006	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	4	11416939-2006-09-11-00006-IDS.pdf
09-11-2006	FOR	Foreign Reference	PRIOR ART	15	11416939-2006-09-11-00005-FOR.pdf
09-11-2006	FOR	Foreign Reference	PRIOR ART	7	11416939-2006-09-11-00004-FOR.pdf
09-11-2006	FOR	Foreign Reference	PRIOR ART	23	11416939-2006-09-11-00003-FOR.pdf
09-11-2006	NPL	Non Patent Literature	PRIOR ART	32	
09-11-2006	NPL	Non Patent Literature	PRIOR ART	7	
05-03-2006	TRNA	Transmittal of New Application	PROSECUTION	3	11416939-2006-05-03-00020-TRNA.pdf
05-03-2006	136A	Authorization for Extension of Time all replies	PROSECUTION	3	11416939-2006-05-03-00019-136A.pdf
05-03-2006	SPEC	Specification	PROSECUTION	32	11416939-2006-05-03-00018-SPEC.pdf
05-03-2006	CLM	Claims	PROSECUTION	7	11416939-2006-05-03-00017-CLM.pdf
05-03-2006	ABST	Abstract	PROSECUTION	1	11416939-2006-05-03-00016-ABST.pdf
05-03-2006	DRW	Drawings-only black and white line drawings	PROSECUTION	10	11416939-2006-05-03-00015-DRW.pdf
05-03-2006	OATH	Oath or Declaration filed	PROSECUTION	4	11416939-2006-05-03-00014-OATH.pdf
05-03-2006	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11416939-2006-05-03-00013-WFEE.pdf
05-03-2006	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11416939-2006-05-03-00012-WFEE.pdf
05-03-2006	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	3	11416939-2006-05-03-00011-IDS.pdf
05-03-2006	FOR	Foreign Reference	PRIOR ART	7	11416939-2006-05-03-00010-FOR.pdf
05-03-2006	FOR	Foreign Reference	PRIOR ART	15	11416939-2006-05-03-00009-FOR.pdf
