Filing or 371(c) Date	12-19-2007
Issue Date of Patent	-
A Delays	0
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	0
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
34	01-12-2009	Mail Notice of Allowance			0
33	01-08-2009	Issue Revision Completed			0
32	01-08-2009	Document Verification			0
31	01-08-2009	Notice of Allowance Data Verification Completed			0
30	01-08-2009	Case Docketed to Examiner in GAU			0
29	01-08-2009	Allowability Notice			0
23	12-19-2007	Information Disclosure Statement considered			0
22	12-26-2007	Information Disclosure Statement considered			0
21	11-25-2008	Case Docketed to Examiner in GAU			0
20	08-21-2008	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED			0
19	05-16-2008	Terminal Disclaimer Filed			0
18	05-16-2008	Preliminary Amendment			0
17	07-10-2008	Case Docketed to Examiner in GAU			0
16	04-24-2008	PG-Pub Issue Notification			0
15	04-22-2008	IFW TSS Processing by Tech Center Complete			0
14	12-26-2007	Miscellaneous Incoming Letter			0
13	12-26-2007	Information Disclosure Statement (IDS) Filed			0
12	12-19-2007	Miscellaneous Incoming Letter			0
11	12-19-2007	Reference capture on IDS			0
10	12-19-2007	Information Disclosure Statement (IDS) Filed			0
9	02-12-2008	Application Dispatched from OIPE			0
8	01-19-2008	Sent to Classification Contractor			0
7	01-22-2008	Filing Receipt			0
6	01-22-2008	Application Is Now Complete			0
5	01-10-2008	Cleared by OIPE CSR			0
4	01-01-2008	IFW Scan & PACR Auto Security Review			0
3	12-26-2007	Information Disclosure Statement (IDS) Filed			0
2	12-19-2007	Information Disclosure Statement (IDS) Filed			0
1	12-19-2007	Initial Exam Team nn			0
