Filing or 371(c) Date	 04-03-2008
Issue Date of Patent	 05-05-2009
A Delays	 0
B Delays	 0
C Delays	 0
Overlapping Days Between {A and B} or {A and C}	 0
Non-Overlapping USPTO Delays	 0
PTO Manual Adjustments	 0
Applicant Delays	 0
Total PTA Adjustments	 0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
31	05-05-2009	Patent Issue Date Used in PTA Calculation			0
30	03-25-2009	Export to Final Data Capture			0
29	03-24-2009	Dispatch to FDC			0
28	03-24-2009	Application Is Considered Ready for Issue			0
27	03-19-2009	Issue Fee Payment Verified			0
26	03-19-2009	Issue Fee Payment Received			0
25	03-02-2009	Finished Initial Data Capture			0
23	01-05-2009	Mail Notice of Allowance			0
22	01-02-2009	Issue Revision Completed			0
21	01-02-2009	Document Verification			0
20	01-02-2009	Notice of Allowance Data Verification Completed			0
19	12-22-2008	Allowability Notice			0
18	04-03-2008	Information Disclosure Statement considered			0
13	10-29-2008	Case Docketed to Examiner in GAU			0
12	10-09-2008	IFW TSS Processing by Tech Center Complete			0
11	04-03-2008	Electronic Information Disclosure Statement			0
10	07-31-2008	PG-Pub Issue Notification			0
9	05-15-2008	Application Dispatched from OIPE			0
8	04-24-2008	Sent to Classification Contractor			0
7	04-24-2008	Filing Receipt			0
6	04-24-2008	Application Is Now Complete			0
5	04-15-2008	Cleared by L&R (LARS)			0
4	04-14-2008	Referred to Level 2 (LARS) by OIPE CSR			0
3	04-03-2008	Information Disclosure Statement (IDS) Filed			0
2	04-03-2008	IFW Scan & PACR Auto Security Review			0
1	04-03-2008	Initial Exam Team nn			0
