Date	Transaction Description
03-09-2007	Mail Abandonment for Failure to Respond to Office Action
03-05-2007	Aband. for Failure to Respond to O. A.
08-09-2006	Mail Final Rejection (PTOL - 326)
08-07-2006	Final Rejection
07-03-2003	Information Disclosure Statement considered
05-31-2006	Date Forwarded to Examiner
05-22-2006	Response after Non-Final Action
05-22-2006	Request for Extension of Time - Granted
11-23-2005	Mail Non-Final Rejection
11-18-2005	Non-Final Rejection
11-20-2003	Reference capture on IDS
07-03-2003	Information Disclosure Statement (IDS) Filed
07-03-2003	Information Disclosure Statement (IDS) Filed
10-27-2003	IFW TSS Processing by Tech Center Complete
10-27-2003	Claims PTO
03-03-2003	Case Docketed to Examiner in GAU
02-12-2003	Application Dispatched from OIPE
02-11-2003	Application Is Now Complete
02-04-2003	Cleared by L&R (LARS)
01-27-2003	IFW Scan & PACR Auto Security Review
12-10-2002	IFW Scan & PACR Auto Security Review
12-05-2002	Initial Exam Team nn
