Application Number	10/590,450
Filing or 371 (c) Date	11-27-2006
Application Type	Utility
Examiner Name	RICCI, CRAIG D
Group Art Unit	1614
Confirmation Number	8515
Attorney Docket Number	1090-127
Class / Subclass	514/183
First Named Inventor	Kristofer Olofsson , Stockholm, (SE)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	10-01-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0227787 A1
Earliest Publication Date	09-18-2008
Patent Number	-
Issue Date of Patent	-
Title of Invention	Use of New Lipoxygenase Inhibitors
