Date	Transaction Description
01-26-2010	Email Notification
01-26-2010	Mail Abandonment for Failure to Respond to Office Action
01-19-2010	Aband. for Failure to Respond to O. A.
06-26-2009	Electronic Review
06-26-2009	Email Notification
06-26-2009	Mail Final Rejection (PTOL - 326)
06-22-2009	Final Rejection
05-27-2009	Date Forwarded to Examiner
05-01-2009	Response after Non-Final Action
05-01-2009	Request for Extension of Time - Granted
05-11-2009	Email Notification
05-11-2009	Filing Receipt - Replacement
05-01-2009	Request from applicant for the USPTO to retrieve the Priority Document
01-08-2009	Electronic Review
01-08-2009	Email Notification
01-08-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
04-16-2007	Information Disclosure Statement considered
12-09-2008	Case Docketed to Examiner in GAU
09-26-2008	Case Docketed to Examiner in GAU
08-11-2008	Case Docketed to Examiner in GAU
10-20-2007	Email Notification
10-19-2007	PG-Pub Issue Notification
09-02-2007	IFW TSS Processing by Tech Center Complete
04-16-2007	Electronic Information Disclosure Statement
08-15-2007	Application Dispatched from OIPE
04-16-2007	Information Disclosure Statement (IDS) Filed
05-25-2007	Sent to Classification Contractor
05-29-2007	Application Is Now Complete
05-23-2007	Additional Application Filing Fees
05-23-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
05-02-2007	Notice Mailed--Application Incomplete--Filing Date Assigned
04-23-2007	Cleared by OIPE CSR
04-16-2007	IFW Scan & PACR Auto Security Review
04-16-2007	Initial Exam Team nn
