Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
03-25-2009	ISSUE.NTF	Issue Notification	PROSECUTION	1	12060631-2009-03-25-00001-ISSUE.NTF.pdf
03-16-2009	N271	Response to Amendment under Rule 312	PROSECUTION	2	12060631-2009-03-16-00002-N271.pdf
03-16-2009	ANE.I	Amendment After Final or under 37CFR 1.312, initialed by the examiner.	PROSECUTION	1	12060631-2009-03-16-00001-ANE.I.pdf
03-05-2009	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	12060631-2009-03-05-00007-IFEE.pdf
03-05-2009	A.NA	Amendment after Notice of Allowance (Rule 312)	PROSECUTION	1	12060631-2009-03-05-00006-A.NA.pdf
03-05-2009	SPEC	Specification	PROSECUTION	1	12060631-2009-03-05-00005-SPEC.pdf
03-05-2009	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	1	12060631-2009-03-05-00004-REM.pdf
03-05-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12060631-2009-03-05-00003-WFEE.pdf
03-05-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	3	12060631-2009-03-05-00002-N417.pdf
03-05-2009	LET.	Miscellaneous Incoming Letter	PROSECUTION	1	12060631-2009-03-05-00001-LET..pdf
02-17-2009	SPEC	Specification	PROSECUTION	1	12060631-2009-02-17-00001-SPEC.pdf
01-28-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	7	12060631-2009-01-28-00007-NOA.pdf
01-28-2009	892	List of references cited by examiner	PROSECUTION	1	12060631-2009-01-28-00006-892.pdf
01-28-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	12060631-2009-01-28-00005-IIFW.pdf
01-28-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	12060631-2009-01-28-00004-SRFW.pdf
01-28-2009	BIB	Bibliographic Data Sheet	PROSECUTION	1	12060631-2009-01-28-00003-BIB.pdf
01-28-2009	1449	List of References cited by applicant and considered by examiner	PROSECUTION	1	12060631-2009-01-28-00002-1449.pdf
01-28-2009	SRNT	Examiner's search strategy and results	PROSECUTION	2	12060631-2009-01-28-00001-SRNT.pdf
08-07-2008	NTC.PUB	Notice of Publication	PROSECUTION	1	12060631-2008-08-07-00001-NTC.PUB.pdf
04-25-2008	APP.FILE.REC	Filing Receipt	PROSECUTION	3	12060631-2008-04-25-00001-APP.FILE.REC.pdf
04-01-2008	TRAN.LET	Transmittal Letter	PROSECUTION	1	12060631-2008-04-01-00020-TRAN.LET.pdf
04-01-2008	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	12060631-2008-04-01-00019-IDS.pdf
04-01-2008	NPL	Non Patent Literature	PRIOR ART	2	
04-01-2008	FOR	Foreign Reference	PRIOR ART	6	12060631-2008-04-01-00017-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	11	12060631-2008-04-01-00016-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	20	12060631-2008-04-01-00015-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	11	12060631-2008-04-01-00014-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	9	12060631-2008-04-01-00013-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	16	12060631-2008-04-01-00012-FOR.pdf
04-01-2008	FOR	Foreign Reference	PRIOR ART	7	12060631-2008-04-01-00011-FOR.pdf
04-01-2008	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12060631-2008-04-01-00010-WFEE.pdf
04-01-2008	N417	EFS Acknowledgment Receipt	PROSECUTION	4	12060631-2008-04-01-00009-N417.pdf
04-01-2008	136A	Authorization for Extension of Time all replies	PROSECUTION	4	12060631-2008-04-01-00008-136A.pdf
04-01-2008	ADS	Application Data Sheet	PROSECUTION	4	12060631-2008-04-01-00007-ADS.pdf
04-01-2008	SPEC	Specification	PROSECUTION	19	12060631-2008-04-01-00006-SPEC.pdf
04-01-2008	CLM	Claims	PROSECUTION	7	12060631-2008-04-01-00005-CLM.pdf
04-01-2008	ABST	Abstract	PROSECUTION	1	12060631-2008-04-01-00004-ABST.pdf
04-01-2008	DRW	Drawings-only black and white line drawings	PROSECUTION	7	12060631-2008-04-01-00003-DRW.pdf
04-01-2008	OATH	Oath or Declaration filed	PROSECUTION	3	12060631-2008-04-01-00002-OATH.pdf
04-01-2008	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	12060631-2008-04-01-00001-WFEE.pdf
