Filing or 371(c) Date	 04-01-2008
Issue Date of Patent	 04-14-2009
A Delays	 0
B Delays	 0
C Delays	 0
Overlapping Days Between {A and B} or {A and C}	 0
Non-Overlapping USPTO Delays	 0
PTO Manual Adjustments	 0
Applicant Delays	 12
Total PTA Adjustments	 0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
34	04-14-2009	Patent Issue Date Used in PTA Calculation			0
33	03-18-2009	Export to Final Data Capture			0
32	03-17-2009	Dispatch to FDC			0
31	03-09-2009	Finished Initial Data Capture			0
30	03-16-2009	Mail Response to 312 Amendment (PTO-271)			0
29	03-13-2009	Response to Amendment under Rule 312			0
28	03-05-2009	Amendment after Notice of Allowance (Rule 312)		12	30
27	03-10-2009	Application Is Considered Ready for Issue			0
26	03-05-2009	Issue Fee Payment Verified			0
25	03-05-2009	Issue Fee Payment Received			0
24	01-30-2009	Export to Initial Data Capture			0
23	01-28-2009	Mail Notice of Allowance			0
22	01-25-2009	Issue Revision Completed			0
21	01-25-2009	Document Verification			0
20	01-25-2009	Notice of Allowance Data Verification Completed			0
19	01-20-2009	Allowability Notice			0
18	04-01-2008	Information Disclosure Statement considered			0
14	01-05-2009	Case Docketed to Examiner in GAU			0
13	08-07-2008	PG-Pub Issue Notification			0
12	06-04-2008	IFW TSS Processing by Tech Center Complete			0
11	04-01-2008	Reference capture on IDS			0
10	04-01-2008	Information Disclosure Statement (IDS) Filed			0
9	06-04-2008	Case Docketed to Examiner in GAU			0
8	05-20-2008	Application Dispatched from OIPE			0
7	04-25-2008	Sent to Classification Contractor			0
6	04-25-2008	Filing Receipt			0
5	04-25-2008	Application Is Now Complete			0
4	04-15-2008	Cleared by OIPE CSR			0
3	04-03-2008	IFW Scan & PACR Auto Security Review			0
2	04-01-2008	Information Disclosure Statement (IDS) Filed			0
1	04-01-2008	Initial Exam Team nn			0
